Coding Departamento;Código Municipio;Nombre Departamento;Nombre Municipio
Alabama;36310;Alabama;Abbeville
Alabama;35004;Alabama;Acmar
Alabama;35005;Alabama;Adamsville
Alabama;35540;Alabama;Addison
Alabama;35006;Alabama;Adger
Alabama;36720;Alabama;Alberta
Alabama;35950;Alabama;Albertville
Alabama;35073;Alabama;Alden
Alabama;36250;Alabama;Alexandria
Alabama;35442;Alabama;Aliceville
Alabama;36419;Alabama;Allen
Alabama;35014;Alabama;Alpine
Alabama;36420;Alabama;Andalusia
Alabama;35610;Alabama;Anderson
Alabama;36201;Alabama;Anniston
Alabama;35016;Alabama;Arab
Alabama;35739;Alabama;Ardmore
Alabama;36311;Alabama;Ariton
Alabama;35541;Alabama;Arley
Alabama;36722;Alabama;Arlington
Alabama;36312;Alabama;Ashford
Alabama;36251;Alabama;Ashland
Alabama;35953;Alabama;Ashville
Alabama;35611;Alabama;Athens
Alabama;36502;Alabama;Atmore
Alabama;35954;Alabama;Attalla
Alabama;36830;Alabama;Auburn
Alabama;36003;Alabama;Autaugaville
Alabama;36505;Alabama;Axis
Alabama;35019;Alabama;Baileyton
Alabama;36005;Alabama;Banks
Alabama;35542;Alabama;Bankston
Alabama;36507;Alabama;Bay Minette
Alabama;36509;Alabama;Bayou La Batre
Alabama;35543;Alabama;Bear Creek
Alabama;36425;Alabama;Beatrice
Alabama;35544;Alabama;Beaverton
Alabama;36785;Alabama;Benton
Alabama;35546;Alabama;Berry
Alabama;35020;Alabama;Bessemer
Alabama;35763;Alabama;Big Cove
Alabama;36510;Alabama;Bigbee
Alabama;36006;Alabama;Billingsley
Alabama;35203;Alabama;Birmingham
Alabama;36314;Alabama;Black
Alabama;35031;Alabama;Blountsville
Alabama;35226;Alabama;Bluff Park
Alabama;35957;Alabama;Boaz
Alabama;35443;Alabama;Boligee
Alabama;36511;Alabama;Bon Secour
Alabama;36761;Alabama;Boys Ranch
Alabama;36009;Alabama;Brantley
Alabama;35033;Alabama;Bremen
Alabama;35034;Alabama;Brent
Alabama;35740;Alabama;Bridgeport
Alabama;35035;Alabama;Brierfield
Alabama;35548;Alabama;Brilliant
Alabama;36615;Alabama;Brookley Field
Alabama;35444;Alabama;Brookwood
Alabama;35741;Alabama;Brownsboro
Alabama;36010;Alabama;Brundidge
Alabama;35958;Alabama;Bryant
Alabama;35446;Alabama;Buhl
Alabama;36752;Alabama;Burkville
Alabama;36904;Alabama;Butler
Alabama;35243;Alabama;Cahaba Heights
Alabama;35040;Alabama;Calera
Alabama;36726;Alabama;Camden
Alabama;36850;Alabama;Camp Hill
Alabama;36727;Alabama;Campbell
Alabama;35549;Alabama;Carbon Hill
Alabama;36515;Alabama;Carlton
Alabama;35447;Alabama;Carrollton
Alabama;36432;Alabama;Castleberry
Alabama;36728;Alabama;Catherine
Alabama;36013;Alabama;Cecil
Alabama;35959;Alabama;Cedar Bluff
Alabama;35215;Alabama;Center Point
Alabama;35960;Alabama;Centre
Alabama;35042;Alabama;Centreville
Alabama;36316;Alabama;Chancellor
Alabama;36518;Alabama;Chatom
Alabama;35043;Alabama;Chelsea
Alabama;35616;Alabama;Cherokee
Alabama;36611;Alabama;Chickasaw
Alabama;36521;Alabama;Chunchula
Alabama;36522;Alabama;Citronelle
Alabama;35045;Alabama;Clanton
Alabama;36016;Alabama;Clayton
Alabama;35049;Alabama;Cleveland
Alabama;36017;Alabama;Clio
